,Provincia,Canton,2015,2016,2017,2018,2019,Poblacion,Media,Crimenes_1000_2015,Crimenes_1000_2019,Tasa
0,ALAJUELA,ALAJUELA,3135,3291,3535,3711,3071,302074.0,11.085363189152327,10.38,10.17,-2.0231213872832443
1,ALAJUELA,ATENAS,197,201,208,259,225,28424.0,7.669575007036308,6.93,7.92,14.28571428571428
2,ALAJUELA,GRECIA,462,524,478,529,450,75383.0,6.481567462159903,6.13,5.97,-2.610114192495927
3,ALAJUELA,GUATUSO,147,114,83,110,130,18541.0,6.299552343455046,7.93,7.01,-11.601513240857496
4,ALAJUELA,LOS CHILES,273,236,289,280,352,31546.0,9.066125657769605,8.65,11.16,29.01734104046243
5,ALAJUELA,NARANJO,205,171,153,196,213,47267.0,3.968942391097383,4.34,4.51,3.9170506912442393
6,ALAJUELA,OROTINA,343,394,448,349,351,22786.0,16.545247081541298,15.05,15.4,2.3255813953488413
7,ALAJUELA,PALMARES,242,240,192,201,222,39525.0,5.550917141049968,6.12,5.62,-8.16993464052288
8,ALAJUELA,POAS,151,183,250,256,146,32583.0,6.052235828499525,4.63,4.48,-3.239740820734327
9,ALAJUELA,RIO CUARTO,72,76,69,81,35,7407.0,8.99149453219927,9.72,4.73,-51.337448559670776
10,ALAJUELA,SAN CARLOS,2002,2064,1724,1755,1695,191126.0,9.669014158199303,10.47,8.87,-15.28175740210126
11,ALAJUELA,SAN MATEO,48,44,55,86,64,6931.0,8.570191891501947,6.93,9.23,33.18903318903319
12,ALAJUELA,SAN RAMON,824,888,797,842,796,90793.0,9.135065478616193,9.08,8.77,-3.4140969162995694
13,ALAJUELA,SARCHI,99,113,82,102,102,21479.0,4.637087387680991,4.61,4.75,3.0368763557483636
14,ALAJUELA,UPALA,607,489,493,506,516,51930.0,10.055844405931062,11.69,9.94,-14.970059880239518
15,ALAJUELA,ZARCERO,44,58,37,45,40,13886.0,3.2262710643813914,3.17,2.88,-9.148264984227128
16,CARTAGO,ALVARADO,61,49,76,57,52,15092.0,3.9093559501722766,4.04,3.45,-14.603960396039605
17,CARTAGO,CARTAGO,1281,1149,1209,1402,1246,160457.0,7.836367375683205,7.98,7.77,-2.6315789473684292
18,CARTAGO,EL GUARCO,330,278,301,279,307,45154.0,6.6217832307215305,7.31,6.8,-6.976744186046513
19,CARTAGO,JIMENEZ,92,107,82,88,107,16216.0,5.87074494326591,5.67,6.6,16.402116402116395
20,CARTAGO,LA UNION,804,768,855,931,783,108990.0,7.598862280943206,7.38,7.18,-2.7100271002710064
21,CARTAGO,OREAMUNO,281,225,241,280,231,48830.0,5.152570141306573,5.75,4.73,-17.739130434782602
22,CARTAGO,PARAISO,354,340,282,406,349,61503.0,5.628993707624018,5.76,5.67,-1.5625
23,CARTAGO,TURRIALBA,751,726,625,730,777,73575.0,9.81039755351682,10.21,10.56,3.4280117531831467
24,GUANACASTE,ABANGARES,147,183,177,168,148,19581.0,8.406107961799703,7.51,7.56,0.665778961384822
25,GUANACASTE,BAGACES,175,164,182,172,159,23047.0,7.3935870178331236,7.59,6.9,-9.090909090909083
26,GUANACASTE,CARRILLO,476,386,387,415,413,43251.0,9.604402210353518,11.01,9.55,-13.260672116257943
27,GUANACASTE,CAÃ‘AS,395,369,393,411,376,31571.0,12.315099299990498,12.51,11.91,-4.796163069544357
28,GUANACASTE,HOJANCHA,55,42,41,46,33,7855.0,5.525143220878421,7.0,4.2,-40.0
29,GUANACASTE,LA CRUZ,174,130,181,141,166,25587.0,6.190643686246922,6.8,6.49,-4.558823529411759
30,GUANACASTE,LIBERIA,1233,1225,1198,1179,1173,72929.0,16.476298866020375,16.91,16.08,-4.908338261383804
31,GUANACASTE,NANDAYURE,62,58,52,47,54,11675.0,4.676659528907923,5.31,4.63,-12.8060263653484
32,GUANACASTE,NICOYA,906,820,832,814,745,54958.0,14.982350158302705,16.49,13.56,-17.76834445118253
33,GUANACASTE,SANTA CRUZ,1084,971,1083,1044,953,65345.0,15.716581222740837,16.59,14.58,-12.115732368896925
34,GUANACASTE,TILARAN,182,138,169,147,159,21337.0,7.451844214275671,8.53,7.45,-12.661195779601398
35,HEREDIA,BARVA,274,330,354,393,293,45106.0,7.289495854210083,6.07,6.5,7.084019769357486
36,HEREDIA,BELEN,299,295,339,343,320,25783.0,12.380250552689757,11.6,12.41,6.982758620689666
37,HEREDIA,FLORES,206,268,244,202,175,24028.0,9.11436657233228,8.57,7.28,-15.052508751458571
38,HEREDIA,HEREDIA,2191,2294,2307,2286,2046,138562.0,16.05635022589166,15.81,14.77,-6.5781151170145495
39,HEREDIA,SAN ISIDRO,136,173,146,203,166,22500.0,7.3244444444444445,6.04,7.38,22.18543046357615
40,HEREDIA,SAN PABLO,223,336,255,228,243,30586.0,8.402537108481004,7.29,7.94,8.916323731138554
41,HEREDIA,SAN RAFAEL,307,392,365,426,299,53197.0,6.725943192285279,5.77,5.62,-2.5996533795493826
42,HEREDIA,SANTA BARBARA,211,270,310,241,262,41047.0,6.304967476307647,5.14,6.38,24.124513618677046
43,HEREDIA,SANTO DOMINGO,441,435,441,463,317,47672.0,8.797617049840577,9.25,6.65,-28.10810810810811
44,HEREDIA,SARAPIQUI,671,605,611,780,632,76571.0,8.616839273354142,8.76,8.25,-5.82191780821918
45,LIMON,GUACIMO,460,338,307,411,492,52270.0,7.683183470441936,8.8,9.41,6.931818181818183
46,LIMON,LIMON,1162,1223,1208,1236,1302,98848.0,12.404904499838135,11.76,13.17,11.989795918367353
47,LIMON,MATINA,548,628,564,594,625,44715.0,13.234932349323493,12.26,13.98,14.029363784665595
48,LIMON,POCOCI,1439,1238,1313,1534,1416,144339.0,9.61625063219227,9.97,9.81,-1.6048144433299938
49,LIMON,SIQUIRRES,863,976,918,941,901,63594.0,14.463628644211719,13.57,14.17,4.421518054532059
50,LIMON,TALAMANCA,563,824,698,650,626,40681.0,16.523684275214475,13.84,15.39,11.199421965317935
51,PUNTARENAS,BUENOS AIRES,355,384,439,438,389,51437.0,7.795944553531505,6.9,7.56,9.565217391304337
52,PUNTARENAS,CORREDORES,647,633,674,602,577,50690.0,12.361412507397908,12.76,11.38,-10.815047021943569
53,PUNTARENAS,COTO BRUS,313,292,308,345,369,44092.0,7.380023587045269,7.1,8.37,17.88732394366197
54,PUNTARENAS,ESPARZA,273,371,284,267,295,36547.0,8.153884039729663,7.47,8.07,8.032128514056236
55,PUNTARENAS,GARABITO,939,1128,1053,1108,1029,24083.0,43.65735165884649,38.99,42.73,9.592203129007416
56,PUNTARENAS,GOLFITO,586,573,573,550,596,44055.0,13.06548632391329,13.3,13.53,1.7293233082706694
57,PUNTARENAS,MONTES DE ORO,85,103,96,89,76,13887.0,6.466479441204004,6.12,5.47,-10.620915032679745
58,PUNTARENAS,OSA,557,642,674,693,646,30647.0,20.961268639671093,18.17,21.08,16.01541001651072
59,PUNTARENAS,PARRITA,353,433,329,319,307,19079.0,18.25043241260024,18.5,16.09,-13.027027027027028
60,PUNTARENAS,PUNTARENAS,1890,1844,1741,1761,1683,134400.0,13.272321428571429,14.06,12.52,-10.95305832147938
61,PUNTARENAS,QUEPOS,813,1000,817,862,693,31631.0,26.461382820650627,25.7,21.91,-14.747081712062249
62,SAN JOSE,ACOSTA,54,73,79,68,67,21519.0,3.169292253357498,2.51,3.11,23.904382470119522
63,SAN JOSE,ALAJUELITA,621,608,620,639,579,90543.0,6.774681642976265,6.86,6.39,-6.851311953352779
64,SAN JOSE,ASERRI,341,413,378,395,365,61911.0,6.111999483129008,5.51,5.9,7.078039927404722
65,SAN JOSE,CURRIDABAT,709,737,906,894,857,77691.0,10.562356000051485,9.13,11.03,20.810514786418377
66,SAN JOSE,DESAMPARADOS,1496,1899,1981,1772,1706,238312.0,7.4305951861425354,6.28,7.16,14.012738853503182
67,SAN JOSE,DOTA,42,45,25,28,34,7788.0,4.4684129429892145,5.39,4.37,-18.923933209647494
68,SAN JOSE,ESCAZU,694,850,771,685,573,68050.0,10.501102130786187,10.2,8.42,-17.450980392156858
69,SAN JOSE,GOICOECHEA,1064,1283,1334,1306,1347,134855.0,9.393793333580513,7.89,9.99,26.615969581749056
70,SAN JOSE,LEON CORTES,68,39,48,52,66,13339.0,4.093260364345153,5.1,4.95,-2.941176470588225
71,SAN JOSE,MONTES DE OCA,1162,1552,1627,1640,1653,61901.0,24.665191192387844,18.77,26.7,42.248268513585515
72,SAN JOSE,MORA,144,188,183,161,138,29555.0,5.508374217560481,4.87,4.67,-4.106776180698157
73,SAN JOSE,MORAVIA,496,552,647,679,548,61542.0,9.495953982645998,8.06,8.9,10.421836228287829
74,SAN JOSE,PEREZ ZELEDON,1491,1430,1593,1427,1211,142550.0,10.034373903893371,10.46,8.5,-18.738049713193128
75,SAN JOSE,PURISCAL,225,248,241,298,236,36987.0,6.748316976234893,6.08,6.38,4.9342105263157965
76,SAN JOSE,SAN JOSE,7795,9053,10068,10851,10723,339581.0,28.55872383908405,22.95,31.58,37.603485838779946
77,SAN JOSE,SANTA ANA,446,573,456,542,570,58159.0,8.89630151825169,7.67,9.8,27.77053455019558
78,SAN JOSE,TARRAZU,82,75,56,69,92,18102.0,4.132140095017125,4.53,5.08,12.141280353200878
79,SAN JOSE,TIBAS,749,831,866,912,659,82889.0,9.692480304986187,9.04,7.95,-12.057522123893794
80,SAN JOSE,TURRUBARES,33,48,28,42,53,6619.0,6.1640731228282215,4.99,8.01,60.52104208416833
81,SAN JOSE,VASQUEZ DE CORONADO,357,414,445,553,458,69500.0,6.40863309352518,5.14,6.59,28.21011673151752
